,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Neuquen,0,AR,1554768000,55,-38.95,-68.06,66.2,3.36
1,Jumla,0,NP,1554772822,86,29.28,82.18,28.78,2.04
2,Hermanus,88,ZA,1554772552,92,-34.42,19.24,66.0,2.89
3,Port Alfred,0,ZA,1554772339,95,-33.59,26.89,63.0,3.6
4,Sao Filipe,0,CV,1554772277,95,14.9,-24.5,71.98,14.79
5,Sovetskiy,0,RU,1554772827,69,56.76,48.47,20.05,2.82
6,Barrow,0,AR,1554772624,42,-38.31,-60.23,71.08,11.16
7,Esmeraldas,40,BR,1554768000,88,-19.76,-44.31,64.4,8.05
8,Faanui,68,PF,1554772801,100,-16.48,-151.75,83.59,15.19
9,Sitka,0,US,1554772569,32,37.17,-99.65,75.0,7.29
10,Guhagar,0,IN,1554772749,100,17.48,73.19,74.59,3.04
11,San Rafael,0,AR,1554772820,36,-34.61,-68.33,68.38,7.29
12,Yellowknife,75,CA,1554772326,80,62.45,-114.38,35.6,8.05
13,Punta Arenas,90,CL,1554772348,93,-53.16,-70.91,44.6,24.16
14,Vaini,20,IN,1554768000,94,15.34,74.49,69.8,1.36
15,Sechura,48,PE,1554772839,70,-5.56,-80.82,77.29,13.67
16,Kieta,24,PG,1554772841,98,-6.22,155.63,81.97,9.53
17,Upernavik,24,GL,1554772587,88,72.79,-56.15,24.28,7.02
18,Rincon,90,US,1554772832,88,32.3,-81.24,70.0,6.93
19,Loreto,0,PY,1554772845,81,-23.27,-57.32,67.57,6.06
20,San Andres,36,PH,1554772846,100,13.32,122.68,81.43,9.42
21,Albany,90,US,1554772525,87,42.65,-73.75,55.4,6.35
22,Rikitea,0,PF,1554772568,100,-23.12,-134.97,76.39,5.01
23,Jati,24,PK,1554772850,90,24.35,68.27,73.87,8.81
24,Butaritari,64,KI,1554772563,100,3.07,172.79,81.16,12.44
25,Ushuaia,20,AR,1554768000,60,-54.81,-68.31,42.8,4.7
26,Kapaa,90,US,1554772509,100,22.08,-159.32,80.6,7.63
27,Boo,80,NG,1554772855,90,7.44,8.9,76.3,4.23
28,Chokurdakh,20,RU,1554772360,98,70.62,147.9,18.25,9.75
29,Songjianghe,0,CN,1554772857,51,42.18,127.48,39.31,3.49
30,Nishihara,20,JP,1554772800,32,35.74,139.53,61.0,13.87
31,Avarua,24,CK,1554769800,83,-21.21,-159.78,78.8,8.05
32,Luderitz,0,NA,1554772861,89,-26.65,15.16,56.32,8.81
33,Leh,76,IN,1554772863,91,34.16,77.58,13.12,0.76
34,Shelburne,90,CA,1554772562,81,44.08,-80.2,51.8,3.36
35,Norman Wells,75,CA,1554768000,56,65.28,-126.83,41.0,8.05
36,Bredasdorp,8,ZA,1554770719,82,-34.53,20.04,68.0,2.24
37,High Rock,75,BS,1554768000,83,26.63,-78.28,77.0,9.17
38,Ribeira Grande,40,PT,1554771600,72,38.52,-28.7,59.0,14.99
39,Sahuaripa,0,MX,1554772787,26,29.05,-109.23,83.41,1.99
40,Bhadrak,0,IN,1554772769,91,21.06,86.51,72.43,4.0
41,Tuktoyaktuk,75,CA,1554770760,77,69.44,-133.03,3.2,14.99
42,Lompoc,1,US,1554772739,68,34.64,-120.46,80.6,13.87
43,Baykit,12,RU,1554772878,84,61.68,96.39,25.9,7.25
44,Dongsheng,92,CN,1554772879,100,29.72,112.52,67.75,10.83
45,Busselton,0,AU,1554772513,37,-33.64,115.35,68.0,20.38
46,Nouadhibou,0,MR,1554768000,68,20.93,-17.03,66.2,20.8
47,Manzanillo,44,CU,1554772883,97,20.34,-77.12,81.79,3.89
48,College,20,US,1554772234,37,64.86,-147.8,54.0,4.7
49,Cape Town,0,ZA,1554772520,82,-33.93,18.42,70.0,13.87
50,Airai,0,TL,1554772629,69,-8.93,125.41,77.65,1.03
51,Hobart,20,AU,1554772694,69,-42.88,147.33,57.0,17.22
52,Kananga,32,CD,1554772889,94,-5.9,22.41,71.17,0.54
53,Hobyo,0,SO,1554772872,92,5.35,48.53,77.02,7.29
54,Jamestown,12,AU,1554772892,67,-33.21,138.6,56.59,11.61
55,Bethel,90,US,1554769140,86,60.79,-161.76,39.2,11.41
56,Mayor Pablo Lagerenza,0,PY,1554772894,62,-19.93,-60.77,68.02,7.85
57,Atuona,36,PF,1554772555,100,-9.8,-139.03,81.61,7.81
58,Gambiran,56,ID,1554772897,97,-7.93,111.77,73.24,3.0
59,Mataura,36,NZ,1554772567,91,-46.19,168.86,54.88,5.12
60,Tierranueva,68,MX,1554772899,72,21.68,-100.57,60.1,4.27
